,href,job_title,company_name,job_loc,details,category,compensation,applyBy,start,end,skills
53,http://letsintern.com/internship/Customer-Service-Representative-internships/Alippo/Customer-Service/127207,Customer Service,Alippo,Bangalore,About Internship:        1.Work on customer queries and actively participate in WhatsApp groups to attend the queries2.Strategize & plan campaigns to engage customers through different channels        Roles and Responsibilities:        1)Work with the core team to get user feedback & create KPIs to track their engagement2)Solve the customer queries through a different channel        Perks:        1.Certificate,Customer Service Representative,Recurring,Apply by 10th Jun `21,9th May 2021,14th Jul 2021,Skills Required         Analytical Skills
54,http://letsintern.com/internship/Social-Media-Specialist-internships/Mutual-Funds-Grow/Social-Media-Managers/127644,Social Media Managers,Mutual Funds Grow,New Delhi,"About Internship:        We are looking for Digital Media enthusiasts, who are active on Instagram, Facebook, Twitter and Linkedin. You will be responsible for our company's image on Social Media. Posting regular posts to attract users.        Roles and Responsibilities:        1. Posting content on Social Media Websites.2. Making content for our website to be posted on Social Media Websites3. Responsible for increasing followers and maintaining their attention on our social media pages.        Perks:        1.Certificate of Excellence2.Recommendation Letter",Social Media Specialist,Unpaid,Apply by 6th Jun `21,31st May 2021,31st Aug 2021,Skills Required         English comprehension
55,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/Web-Development-Internship/99408,Web Development Internship,TechCiti Technologies Pvt.Ltd.,Bangalore,About Internship:        Web Developer Internship: Eligibility: Any candidates who are pursuing graduation or recent passouts can apply -BE/BTech/MTech/BCA/MCA (2019/2020/2021 Batches) Benefits of internship: -Domain Knowledge -Project Training and Implementaion-Full stack development experience Internship Duration: 1 Month –6 Months.        Roles and Responsibilities:        The candidate has to work on the project assigned by the company. And also has to work on the day to day tasks. The candidate will be working on both frontend and backend part of the project        Perks:        1. Internship Experience Certificate2. Flexble working hours,Software Developer,Unpaid,Apply by 24th Mar `19,7th Jan 2019,6th Jun 2019,Skills Required         HTML
56,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/Java-Internship/121846,Java Internship,TechCiti Technologies Pvt.Ltd.,Bangalore,"About Internship:        Java Internship (Online):Objectives:- Working on Full Stack Java Development (Front-end and back-end)- Working on the different modules of the project- Working on HTML,CSS,Bootstrap, JQuery, JSP, Servets, JDBCEligibility: BE/BTech/BCA/MCA/BSc/MTech (Any sem students)Location: Bangalore        Roles and Responsibilities:        1. Working on the Project2. Working on day to day tasks assigned to the interns3. Working on both front-end and back-end part of the project        Perks:        1. Internship Certificate2. Flexible timings",Software Developer,Unpaid,Apply by 6th Dec `20,6th Sep 2020,6th Mar 2021,Skills Required         Java
57,http://letsintern.com/internship/Sales-Professional-internships/White-Log-Media/Digital-Media-Sales/126682,Digital Media Sales,White Log Media,"Hyderabad,              Ahmedabad,              Bangalore,              Indore,              Mumbai,              Pune,              Chennai,              Lucknow,              Kolkata,              Delhi","About Internship:        Hi Everyone Need Talented Interns for Digital Media Sales to build our startup. Training on Digital Media Sales will be provided on the job and performing individuals will be suitably rewarded. The job requires finding new clients, pitching them our services, and getting leads for senior management to convert into sales. It’s a Work from home profile so location doesn’t matter. Male or female, with good english communication and computer skills are a must to apply. Working knowledge of Microsoft word, excel, power point. RegardsWhite Log Media        Roles and Responsibilities:        1. Selling skills - Proposals, Cold calls, emails2. Good Communications skills and Computer knowledge3. Discipline and respect for time and commitment.        Perks:        1. Sales Conversion Bonus 2. Upon two months of successful internship - Full salary will be offered as per individual performance.",Sales Professional,Recurring,Apply by 31st May `21,31st Mar 2021,29th Sep 2021,Skills Required         Analytical Skills                Business Intelligence
58,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/Data-Science-ML-NLP-Internship/128129,Data Science(ML/NLP) Internship,TechCiti Technologies Pvt.Ltd.,Anywhere in India,About Internship:        Data Science(ML/NLP) Internship:Objectives of Internship:-Working on the project-Working on Data Science/Machine learning/NLP using Python technologyEligibility: Students who are pursuing:- BE/BTech- BCA- MCA-MTechDuration: 1-6 monthsOffice location: BangaloreMode of internship: Online/Virtual        Roles and Responsibilities:        1. Working on the project2. Working on different modules of the project3. Performing day to day tasks assigned by the company        Perks:        1. Internship Experience Certificate2. Flexible work hours3. Letter of Recommendation (Based on performance),Software Developer,Unpaid,Apply by 17th Sep `21,4th Jun 2021,30th Dec 2021,Skills Required         Python                Data Science                Machine Learning
59,http://letsintern.com/internship/Copy-Writer-internships/https-witsadda-com-/Content-writer/128142,Content writer,https://witsadda.com/,New Delhi,"About Internship:        <a href=""https://witsadda.com/"">Witsadda</a>  talks about an array of topics in travel. This blog is for the people who are interested to know more about India.        Roles and Responsibilities:        1. Content creation2. Research and content analyse3. proofreading and postingFrom the cultural heritage to diverse tourism, this blog is a stop destination for everything about India. The blog is initiated with objective to provide the people the right information.",Copy Writer,Unpaid,Apply by 6th Jun `21,4th Jun 2021,24th Jun 2021,Skills Required         Writing Skills
60,http://letsintern.com/internship/Graphic-Designer-internships/Mr-Moustache-cakes/GRAPHIC-DESIGNING/127329,GRAPHIC DESIGNING,Mr. Moustache cakes,Gurgaon,"About Internship:        This will be a work from home internship..Interns will have to work on various assignment and complete tasks given to them dedicatedly.        Roles and Responsibilities:        Roles and Responsibilities: 1. Creating Social Media Posts2. Handling Our Website3. Designing Posters/Newsletters4. Develop Illustrations, Logos And Other Designs Using Software5. Use The Appropriate Colors And Layouts For Each Graphic        Perks:        1. Internship Certificate2. Letter of Recommendation based on performance",Graphic Designer,Unpaid,Apply by 31st May `21,18th May 2021,18th Aug 2021,Skills Required         Photoshop                Design Patterns
61,http://letsintern.com/internship/Digital-Marketing-Manager-internships/Shanqh-Luxury-Events/Looking-for-Designers-and-Animators-/128149,Looking for Designers and Animators!,Shanqh Luxury Events,Anywhere in India,"About Internship:        We are looking for someone who can create posts, save the dates etc. People who can animate could be a great asset.        Roles and Responsibilities:        1. Create Posts for Social Media2. Create Save the date samples3. Animate Save the date videos 4. Create Logos        Perks:        1. Certificate2. Excelling interns to receive stipend",Digital Marketing Manager,Unpaid,Apply by 12th Jun `21,13th Jun 2021,13th Sep 2021,Skills Required         Design Patterns
62,http://letsintern.com/internship/Business-Development-Manager-internships/The-Gray-Fox/Business-Ddevelopment/127090,Business Ddevelopment,The Gray Fox,Anywhere in India,"About Internship:        The Gray Fox is a cross-disciplined digital marketing agency with a deep skill set, and while as an agency we will always put together a team to meet the needs of your project, we have the right skills in the right places for your next project.We offer variety of marketing services from offline to digital platforms. We're aiming to have out strength in Influencer marketing, Content strategy and talent management.We believe the growth of team is as important as the growth of company.        Roles and Responsibilities:        1. Approaching potential clients2. Consulting the leads over virtual meetings/ calls3. Managing leads data4. Handling sales funnel5. Creating new business opportunities        Perks:        CertificatesLetter of recommendationOpportunity to work creatively with young team membersAccess to free training courses (of experts)Flexible work hoursCool work environment (performance based)Amazing offers for top performers",Business Development Manager,Recurring,Apply by 30th May `21,4th May 2021,4th Aug 2021,Skills Required         Marketing                Sales Situation Handling - Basic                Sales Situation Handling - Intermediate
63,http://letsintern.com/internship/Information-Technology-Support-Specialist-internships/3G-Institute-Of-Research-And-Policy-Studies/Software-Tester-Intern/127011,Software Tester Intern,3G Institute Of Research And Policy Studies,Chennai,"About Internship:        We are looking for applicants - IT Department as Software Tester Intern. It will be a 6-month internship.Experience Required are*Knowledge in manual testing and automation testing*0 -1 experience.*Should complete any software testing courseSkills RequiredExperience in manual testing & knowledge in SDLC and STLCsmoke, functional and ad-hoc testingShould have good experience in Web testing        Roles and Responsibilities:        1.Design Test plans, scenarios, cases, procedures & Requirement Traceability Matrix2.Defect reporting, defect tracking",Information Technology Support Specialist,Recurring,Apply by 31st May `21,13th May 2021,30th Oct 2021,Skills Required         SDLC
64,http://letsintern.com/internship/Social-Media-Specialist-internships/Scalar-News/Social-Media-Manager/127935,Social Media Manager,Scalar News,Anywhere in India,About Internship:        We are seeking a Social Media Manager. Scalar News is a student-run organization. We provide short concise news articles consisting of less than 100 words everyday via WhatsApp & Instagram.We are looking for someone who can collaborate with our writing team and make interactive content for our Social Media. We want someone who can increase followers on Instagram and WhatsApp and ultimately increase likes on Instagram too.Check out our Instagram page: https://www.instagram.com/scalar_news/Check out our WhatsApp group: https://chat.whatsapp.com/FG6xg6P1oZ6J2rVXhujAEB        Roles and Responsibilities:        1. Work with our writing team to create content for Instagram2. Help us increase members on WhatsApp and followers on Instagram3. Promote Scalar News4. Come up with new ideas to improve Scalar News        Perks:        1. Internship Certificate2. Personal Letter of Recommendation,Social Media Specialist,Unpaid,Apply by 5th Jul `21,4th Jun 2021,4th Aug 2021,Skills Required         Written English                Writing Skills                Essay writing skills
65,http://letsintern.com/internship/Business-Development-Manager-internships/Top-Mentor/Business-Development-Manager-Intern/119333,Business Development Manager Intern,Top Mentor,Pune,"About Internship:        We are seeking a 'Business Development Manager' whose job would be mainly to call potential students, explain them courses and enroll them into courses by collecting fees.        Roles and Responsibilities:        1. Call students and explain them how to attend the webinars 2. Ensure maximum attendance for webinars 3. Call students and enroll them into courses        Perks:        1. work from home during covid 19 2. No targets",Business Development Manager,Recurring,Apply by 1st Oct `20,15th Jun 2020,15th Jan 2021,Skills Required         Sales Situation Handling - Basic                English comprehension
66,http://letsintern.com/internship/Software-Developer-PHP-internships/Adiyogi-Technosoft-Pvt-Ltd/Unpaid-Internship/124592,Unpaid Internship,Adiyogi Technosoft Pvt. Ltd,Jodhpur,About Internship:        We are welcoming students who are willing to learn and enthusiastic and passionate about their career and want to learn and gain practical knowledge in the sector they are interested.       If you have the above mentioned qualities then Adiyogi Technosoft is waiting to take you On board.        Roles and Responsibilities:        1.Perform the tasks provided by their superiors.2.Should be ready to learn New technologies and skills.3.To ensure that every task provided to them is done with 100% of their efforts.4.Should possess critical and Analytical problem Solving Skills.        Perks:        1.Get experience Before you get degree.2.Get experience on live projects.3.Learn From Proffesionals.,Software Developer : PHP,Unpaid,Apply by 15th Jun `21,14th Dec 2020,14th Dec 2021,Skills Required         PHP                Android SDK                AJAX                AngularJS                Android Studio                NodeJS                AWS
67,http://letsintern.com/internship/Advertising-and-Promotions-Manager-internships/IFortis-Corporate/Corporate-Ambassador/127956,Corporate Ambassador,IFortis Corporate,Anywhere in India,"About Internship:        We are seeking for a Corporate Ambassador to represent our company in their respective College/University. They have to spread awareness about the projects undertaken by the company.        Roles and Responsibilities:        • Representing our company in your college/university and working behalf of the company. • Create awareness among students about the event organized by IFORTIS CORPORATE • Approach your university’s higher officials regarding the event and make students register for the event through them. • Working on achieving weekly sales targets of interaction and closures.        Perks:        • Monthly rewards are based on performance (Corporate Vouchers, Gift Cards etc.). • Traineeship Program. • Certificate of Excellence • Certificate/Letter of Recommendation. • Chance to work in collaboration with partner companies worldwide. • An exciting environment to express your passion and talents, develop your skills. • An opportunity to contribute to a leading company, and grow personally and professionally.",Advertising and Promotions Manager,Unpaid,Apply by 4th Jun `21,5th Jun 2021,4th Jul 2021,Skills Required         Leadership Skills                Sales Situation Handling - Basic                Teamwork
68,http://letsintern.com/internship/Web-Developer-internships/Jobs-Micro/PHP-Interns-Trainees-Required/125443,PHP Interns/Trainees Required,Jobs Micro,Nagpur,"About Internship:        Want to make career in Web Development,Here is the Opportunity for Internship:Get knowledge of PHP, MVC, MySQL, javascript, jQuery, HTML5, Linux.Learn and work on open source platforms like Wordpress.Learn Angular JS.Learn to design and develop web applications in using PHP Frameworks like CodeIgniterDevelop REST API / RESTFUL Services (web services).Work on Live Projects.Interested Candidates can apply.        Roles and Responsibilities:        1. Learn to design and develop web applications in using PHP Frameworks like CodeIgniter 2. Develop REST API / RESTFUL Services (web services).3. Work on Live Projects.",Web Developer,Unpaid,Apply by 14th Aug `21,12th Feb 2021,12th Feb 2022,Skills Required         HTML5                JavaScript                PHP                jQuery                MySQL                Linux                MVC
69,http://letsintern.com/internship/Business-Acquisition-Executive-internships/Xartup/Entrepreneur-in-Residence/127070,Entrepreneur in Residence,Xartup,Anywhere in India,"About Internship:        We envisage building an entrepreneurial India. The EIR will have to market and sell entrepreneurship related educational products within their networks. If you love how Steve Jobs started selling apple at its early stage, you are the one we are waiting for. Strong communication and convincing skills are a must. Work will be completely remote.        Roles and Responsibilities:        1. Marketing and spreading awareness about entrepreneurship in your college campus. You will have to showcase your business skills by selling actual educational products to the students 2. Work on developing attractive marketing campaigns for entrepreneurs3. Doing market research on various industries4. Spreading awareness related to startups and entrepreneurship in your campus        Perks:        1. Certificate of Recognition2. Recommendation Letter3. Free access to Xartup Fellowship (check www.xartup.com)",Business Acquisition Executive,Unpaid,Apply by 20th May `21,14th May 2021,14th Jun 2021,Skills Required         Analytical Skills
70,http://letsintern.com/internship/Business-Acquisition-Executive-internships/Learn-360/Business-Development-Sales-/127980,Business Development ( Sales),Learn 360,New Delhi,"About Internship:        We are a small but quality institution , thriving to provide education with dimensional personality development.We excel at providing best Psychology tutors for classes 11-12 , that just doesnt include bookish knowledge but behavioural expressions that we normally witness in daily life.We provide tutors for classes 1-8th all subjects, 9-12th : English, Social Studies, Political Science .We provide customised personality development sessions for kids on special demands which includes English speaking, expression building , communication skills, ethics and morals.        Roles and Responsibilities:        1.Client acquisition.2.Using your communication and business skills to spread the word about the institution and helping us get more and more students on our E-learning platform.3. Booking as many as sessions possible.        Perks:        1.Flexible working hours 2.letters of recommendation 3. fresher job",Business Acquisition Executive,Recurring,Apply by 10th Jun `21,31st May 2021,31st Jul 2021,Skills Required         Marketing                Business Intelligence                Customer Expectation Management
71,http://letsintern.com/internship/Mechanical-Engineer-internships/DTech-Ltd/Design-Engineering-Trainee-Intern/127320,Design Engineering Trainee - Intern,DTech Ltd,Anywhere in India,"About Internship:        We are looking for Engineering Students from Mechanical, Electrical, Automobile, Aerospace, Aeronautical Engineering background to work with us in our LIVE projects as Intern Associate. Eligibility Criteria :1. Must be Engineering Student/Job Seeker2.Basic CAD Knowledge preferably in Solidworks & Catia.3.Must have PC/ Laptop.4. Basic Technical Knowledge about Mechanical Industry.        Roles and Responsibilities:        1.Will be working in Design Department.2.Deals with Live projects and Team communication.3.Online Research work, content development, Technology grasping.        Perks:        1.CAD Training & Certification.2.Internship Certification.3.Job offer If performance is Exceptional.4.Live Design Engineering Projects.",Mechanical Engineer,One-Time,Apply by 13th Jun `21,13th May 2021,13th Jul 2021,Skills Required         Agreeableness
72,http://letsintern.com/internship/Content-Manager-internships/Shop-Pirate/Content-Writing/127554,Content Writing,Shop Pirate,Hyderabad,"About Internship:        We seek content writer interns to write content on different niche blogs like health, fashion, tech etc.        Roles and Responsibilities:        1. to write well researched content.2. timely delivery of the articles3.Working with the team and producing fresh content.",Content Manager,One-Time,Apply by 6th Jun `21,19th May 2021,4th Sep 2021,Skills Required         Writing Skills
73,http://letsintern.com/internship/Marketing-Professional-internships/IFortis-Corporate/Marketing-Sales-Intern-Corporate-Ambassodor/127876,Marketing & Sales Intern/ Corporate Ambassodor,IFortis Corporate,"Hyderabad,              Raigarh,              Raipur,              Panaji,              Surat,              Mumbai,              Pune,              Satara,              Thane,              Navi Mumbai","About Internship:        We are seeking a Maketing & sale Intern/ Corporate Ambassador who will be representing our company and working on behalf of the company. Creating awareness among the students, approaching university. Working on achieving weekly sales targets of interaction and closures. Develop & implement a digital marketing strategy. Create and run campaigns online to drive website traffic, brand awareness and Visibility, generate leads, etc. Working on achieving weekly targets of interaction and closures.        Roles and Responsibilities:        1.Representing our company in your friends and family circle through all portals.2. Explain event details to your contacts and generating sales for it.3.You have to make your circle aware of it by describing its uniqueness and advantages.4.Develop & implement a digital marketing strategy.5.Create and run campaigns online to drive website traffic, brand awareness and Visibility, generate leads, etc.6.Working on achieving weekly targets of interaction and closures.        Perks:        1.Monthly rewards are based on performance (Corporate Vouchers, Gift Cards etc.).2. Traineeship Program.3.Certificate of Excellence4.Certificate/Letter of Recommendation.5.Chance to work in collaboration with partner companies worldwide.6.An exciting environment to express your passion and talents, develop your skills.7.An opportunity to contribute to a leading company, and grow personally and professionally.",Marketing Professional,Unpaid,Apply by 3rd Jun `21,4th Jun 2021,4th Jul 2021,Skills Required         Leadership Skills                Marketing                Teamwork                Salesforce                Team Management
74,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/MCA-Final-Year-Internship/126016,MCA Final Year Internship,TechCiti Technologies Pvt.Ltd.,Anywhere in India,About Internship:        MCA Final Year Internship:Objectives of Internship:-Working on the project(Both Front-end and Back-end)-Project can be based on Java/Web/Python/Machine Learning/NLP/Data ScienceEligibility: Any MCA final year pursuing students can applyDuration: 1 - 6 monthsMode of internship: Online/Virtual        Roles and Responsibilities:        1. Working on the project2. Working on different modules of the project3. Performing day to day tasks assigned by the company        Perks:        1. Internship Experience Certificate2. Letter of Recommendation,Software Developer,Unpaid,Apply by 5th Jun `21,4th Mar 2021,4th Sep 2021,Skills Required         CSS                HTML
75,http://letsintern.com/internship/Writer-internships/Rocket-digital-private-limited/content-writer-intern/127733,content writer intern,Rocket digital private limited,New Delhi,About Internship:        We want someone who can frame content based to improve SEO ranking.This is a full time internship which means you would be required to work from our office in Saket from M-F (10am to 6pm). We are not doing Work from home as soon as the lockdown is lifted.        Roles and Responsibilities:        1. Create well researched blogs2. Create youtube script3. Strategize new ideas for the blogs4. Developing text content for the social handle        Perks:        1. Office is operational only Monday - friday 2. LOR,Writer,Recurring,Apply by 5th Jun `21,6th Jun 2021,7th Aug 2021,Skills Required         Analytical Skills                Search Engine Optimization                Digital Marketing                Agreeableness                Grammar
76,http://letsintern.com/internship/Marketing-Assistant-internships/IFortis-corporate/Summer-Internship/127893,Summer Internship,IFortis corporate,Bangalore,"About Internship:        1. CORPORATE AMBASSADOR: • Representing our company in your college/university and working behalf of the company. • Create awareness among students about the event organized by IFORTIS CORPORATE • Approach your university’s higher officials regarding the event and make students register for the event through them. • Working on achieving weekly sales targets of interaction and closures. 2. MARKETING & SALES Interns: • Representing our company in your friends and family circle through all portals. • Explain event details to your contacts and generating sales for it. • You have to make your circle aware of it by describing its uniqueness and advantages. • Develop & implement a digital marketing strategy. • Create and run campaigns online to drive website traffic, brand awareness and Visibility, generate leads, etc. • Working on achieving weekly targets of interaction and closures. Duration: Minimum of 1 month and can be extended upon mutual interest. Gender: Female / MaleBenefits: • Monthly rewards are based on performance (Corporate Vouchers, Gift Cards etc.). • Traineeship Program. • Certificate of Excellence • Certificate/Letter of Recommendation. • Chance to work in collaboration with partner companies worldwide. • An exciting environment to express your passion and talents, develop your skills. • An opportunity to contribute to a leading company, and grow personally and professionally.        Roles and Responsibilities:        1. Developing and managing digital marketing campaigns2. Research on targeting tactics & brand guidelines.3. Devising strategies to drive online traffic to the company website.4.Track, analyze and optimize digital marketing efforts.        Perks:        1. WORK FROM HOME2. CERTIFICATE OF PARTICIPATION3. CERTIFICATE OF EXCELLENCE4. CAN WORK FURTHER WITH US",Marketing Assistant,Unpaid,Apply by 4th Jun `21,4th Jun 2021,4th Jul 2021,Skills Required         Marketing
77,http://letsintern.com/internship/Graphic-Designer-internships/Pepr/Graphics-Designer/123738,Graphics Designer,Pepr,Anywhere in India,About Internship:        We are seeking a graphics designer who is going to help us in1.Creation of Social Media Posts using Branding guidelines.2.Creation of marketing materials.3.Creation of short client testimonials videos.        Roles and Responsibilities:        1.Creation of Social Media Posts using Branding guidelines.2.Creation of marketing materials.3.Creation of short client testimonials videos.        Perks:        1.Experience Certificate2.Linkedin Recommendation,Graphic Designer,Unpaid,Apply by 30th Nov `20,17th Nov 2020,30th Dec 2020,Skills Required         Photoshop
78,http://letsintern.com/internship/Software-Developer-internships/CodeSpeedy-Technology-Private-Limited/Deep-Learning-using-TensorFlow-and-Keras-in-Python/119401,Deep Learning using TensorFlow and Keras in Python,CodeSpeedy Technology Private Limited,"Hyderabad,              Patna,              Bangalore,              Mumbai,              Pune,              Chennai,              Coimbatore,              Lucknow,              Kolkata,              Delhi","About Internship:        We are seeking deep learning and machine learning freshers who can do projects, simple or advanced machine learning tasks using TensorFlow and Keras Python libraries. He/she also should have great writing skills in English because he/she has to explain it and write article on it.        Roles and Responsibilities:        1. Do the research and learn new things to implement it.2. Solving machine learning and deep learning problems using TensorFlow or Keras deep learning Python library.3. Implement various algorithms to get an accurate result.4. Solve machine learning/deep learning tasks and projects and write article on it.        Perks:        1. Offer letter at the time of joining.2. Internship certificate at the end of this internship.3. Letter of recommendation based on the performance.4. Flexible timing.5. Leave during exams and medical issues.6. Guidance during the internship period.",Software Developer,Unpaid,Apply by 29th Aug `20,28th Aug 2020,29th Aug 2020,Skills Required         Python                Data Science                Machine Learning                Artificial Intelligence
79,http://letsintern.com/internship/Software-Developer-internships/LIVE-STREAM-TECHNOLOGIES/Best-Internship-with-Live-Project-in-coimbatore/126009,Best Internship with Live Project in coimbatore,LIVE STREAM TECHNOLOGIES,Coimbatore,"About Internship:        1. Requires the highest level of professionalism, which includes arriving on time for designated work.2. Notifying the faculty of any deviations from the established schedule, and dressing to the standards of the organization and the work being performed.3. Respect the organization’s reporting structure and follow the policies and procedures of the organization.4. Communicate effectively with the respective staff.5. Complete and submit to the faculty Weekly Time Logs. Complete and discuss with the faculty the midterm and final evaluations.        Roles and Responsibilities:        1. Requires the highest level of professionalism, which includes arriving on time for designated work.2. Notifying the faculty of any deviations from the established schedule, and dressing to the standards of the organization and the work being performed.3. Respect the organization’s reporting structure and follow the policies and procedures of the organization.4. Communicate effectively with the respective staff.5. Complete and submit to the faculty Weekly Time Logs. Complete and discuss with the faculty the midterm and final evaluations.        Perks:        1.Internship Completion certificate2.Flexible working hours3.Placement support4.Technology completion certificate",Software Developer,Unpaid,Apply by 14th Nov `21,31st Mar 2021,29th Jun 2022,Skills Required         JavaScript                PHP                MySQL                Android Studio                Java                MongoDB                Python                HTML5                CSS3
80,http://letsintern.com/internship/Human-Resources-Recruiter-internships/Ashman-foundation/Human-resources-recruitment/127599,Human resources recruitment,Ashman foundation,Anywhere in India,"About Internship:        Internship varies from the Span of 3months ,6months to 9months. interested candidates can join accordingly.this internship is Not only helping hand to ashman foundation but aslo an opportunity to improve skills excel oneself in this field        Roles and Responsibilities:        1.have basic knowledge regarding human resources2.task 1_is to recruit3.task2_will be given on the basis of onboarding made        Perks:        1.certificate Letter of recommendation2.",Human Resources Recruiter,Unpaid,Apply by 30th May `21,30th May 2021,Nov ---- Nov -,Skills Required         Human Resource Situation Handling                HR Situation Handling                Grammar
81,http://letsintern.com/internship/Social-Media-Specialist-internships/KOMANTECH-SOLUTIONS/Social-Media-Marketing/127424,Social Media Marketing,KOMANTECH SOLUTIONS,Jaipur,"About Internship:        In the ever-changing world of social media, the only constant factor is creativity. In our quest of creating a world full of opportunities, we are looking for a storyteller who can knock out the mainstream content and cook up disruptive campaigns that would take the social media world by storm. If you are a jack of all trades and master of pun, give us a shout out.        Roles and Responsibilities:        1.Conceptualizing and executing campaigns and topicals on social media2.Scripting videos and sketches and coordinating with design and video production teams to create engaging content to brand.3.Analyzing the growth and insights across different channels and charting out strategies to improve engagement rate and other metrics        Perks:        1.Someone who is immensely creative and always bubbling up with new ideas2.Someone who understands the power of social media in building a brand and can leverage it.",Social Media Specialist,Recurring,Apply by 14th Jun `21,14th May 2021,14th Jul 2021,Skills Required         Leadership Skills                Analytical Skills                Search Engine Optimization                Learning Attitude
82,http://letsintern.com/internship/Social-Media-Specialist-internships/Aashman-Foundation/SOCIAL-MEDIA-MARKETING/127787,SOCIAL MEDIA MARKETING,Aashman Foundation,Anywhere in India,"About Internship:        Aashman Foundation is an NGO working for widows, women empowerment, and child education and development. We are working with women empowerment centers and free schools for children so that they can also stand and live a respectable life.        Roles and Responsibilities:        1.you need to use these 3 platforms to create awarness about aashman, make it's voice reach to masses using social media.2.you should own a account on Facebook, Instagram and WhatsApp 3.good reach and communication skills        Perks:        1.Certificate2 .Letter of recommendation3. Flexible work hours4. only5 days a week",Social Media Specialist,Unpaid,Apply by 20th Jun `21,28th May 2021,27th Aug 2021,Skills Required         Marketing
83,http://letsintern.com/internship/Front-End-Developer-internships/talentbag/Front-end-Developer/121812,Front end Developer,talentbag,Mumbai,"About Internship:        We are looking for a seasoned frontend developer to join our team. This role requires you to be a tech-savvy contributor in translating the customer needs and user expectation into interactive web apps. You’ll be an exceptional problem solver and take responsible actions in ensuring the application is optimized both in technology and in delivering best user experience.        Roles and Responsibilities:        Work closely with design, product management and development teams to create elegant, usable, responsive and interactive interfaces across multiple devices.Turning UI/UX designs into prototypes, creating awesome interactions from designs, writing reusable content modules and maintainability of the code.Implement UI development principles to ensure that the product client-side serves at scale.Review and optimize the app usage by monitoring key metrics and rectifying the issues proactively.An ability to perform well in a fast-paced environment and bring in optimal flow for rapidly changing design/ technology.",Front End Developer,Recurring,Apply by 11th Oct `20,6th Sep 2020,31st Dec 2020,Skills Required         Agile Software Development
84,http://letsintern.com/internship/Graphic-Designer-internships/Shop-Pirate/Designer-Social-Media-Team-/55393,Designer (Social Media Team),Shop Pirate,Hyderabad,We are looking for savvy designers to create amazing social and digital content for Shop Pirate while working with our Creative Director to produce amazing piecesProficient with Adobe Creative Suite (Primarily Photoshop and Illustrator)Must be quick on your feet and ready to design for a variety of online mediumsYou will regularly create designs for our platform that are styled to be an extension of a brand.Knowledge of multiple Social Media platformsAn appreciation for great design in general,Graphic Designer,Recurring,Apply by 20th Mar `16,13th Mar 2016,Nov ---- Nov -,Skills Required         Adobe Photo Shop                Illustrator
85,http://letsintern.com/internship/Teacher-internships/BaaBeeTV/Shloka-Instructor/127701,Shloka Instructor,BaaBeeTV,Delhi,"About Internship:        We are looking for passionate, energetic, and talented Shloka Instructors to join the teaching community at BaaBee TV and help in developing cognitive skills in young minds and promoting extracurricular activities. The ideal candidate is enthusiastic, self-motivated, and loves working with kids.        Roles and Responsibilities:        Motivate children to practice chanting shlokas as a part of their daily life. Develop knowledge amongst the students regarding the benefits of chanting shlokas. Evaluating the performance of the students on a regular basis and providing suitable feedback. Identifying areas of further improvement and development among the students. Providing interactive and engaging learning experiences to the students. Maximize the course learning outcomes every day. Plan and implement Shloka’s chanting activities, workshops, and competitions. Track and record the performance of students in the assessments. Provide suitable feedback to the parents after evaluating the overall performance of the student. To cultivate an interactive and friendly teaching-learning experience.",Teacher,Recurring,Apply by 6th Jun `21,30th May 2021,Nov ---- Nov -,Skills Required         English comprehension                Language Anticipation
86,http://letsintern.com/internship/Business-Development-Executive-internships/ProTildo-Technologies-Pvt-Ltd-/Business-Development-Sales-/127832,Business Development (Sales),ProTildo Technologies Pvt. Ltd.,Gurgaon,"About Internship:        Seeking passionate people with inclination towards Corporate Sales, and looking to make a career in it.        Roles and Responsibilities:        1. Initiate the sales process by building and maintaining strong, long-lasting relationships; qualifying potential; schedule appointments.2. Develop sales lead by making initial presentation; explain product and service enhancements and additions; introduce new products and services.3. Plan, develop and implement engagement strategies to drive customer intimacy, trust and sense of partnership. These will include targeted marketing programs and other low-touch strategies, and prioritizing high-touch engagements to achieve our retention and growth goals.4. Provide regular updates to management on customer status and action plans, needs and feedback to ensure product development and service delivery stay in tune with customer needs.5. Develop & review business and accounts plans. Forecasting of revenue / volume6. Develop and update white spacing to identify upsell opportunities.7. Sales management - pipeline, meetings, upsell etc        Perks:        1. Fixed stipend of INR 5000 per month2. Incentive of INR 1000 per corporate on-boarded",Business Development Executive,Recurring,Apply by 25th Jun `21,31st May 2021,30th Jul 2021,Skills Required         Salesforce
